"iata,""type"",""name_ru"",""name_en"",""coordinates"",""timezone"",""parent_name_en"""
ACD,""Аканди"",""Acandi"",""8.5:-73.63"",""America/Bogota"",""Colombia""
ACE,""Аресифе"",""Arrecife"",""28.9595062:-13.5476012"",""Atlantic/Canary"",""Spain""
ACH,""Альтенрхайм"",""Altenrhein"",""47.4674873:9.566754"",""Europe/Zurich"",""Switzerland""
ACI,""Олдерни"",""Alderney"",""49.7137136:-2.1997945"",""Europe/London"",""United Kingdom""
ACJ,""Анурадхапура"",""Anuradhapura"",,,""Sri Lanka""
ACK,""Нантакет"",""Nantucket"",""41.2834563:-70.0994605"",""America/New_York"",""United States""
ACL,""Агуаклара"",""Aguaclara"",""4.73803:-73.00394"",""America/Bogota"",""Colombia""
ACM,""Арика"",""Arica"",""-2.13:-71.78"",""America/Bogota"",""Colombia""
ACN,""Акунья"",""Acuna"",""29.33:-101.1"",""America/Matamoros"",""Mexico""
ACO,""Аскона"",""Ascona"",""46.15732:8.7773558"",""Europe/Zurich"",""Switzerland""
ACP,""Саханд"",""Sahand"",,""+0.0"",""Iran""
ACR,""Араракуара"",""Araracuara"",""-0.6:-72.4"",""America/Bogota"",""Colombia""
ACS,""Ачинск"",""Achinsk"",""56.28236:90.5170516"",""Asia/Krasnoyarsk"",""Russia""
ACT,""Вако"",""Waco"",""31.549333:-97.1466695"",""America/North_Dakota/New_Salem"",""United States""
ACU,""Ачутупо"",""Achutupo"",""9.18:-78.02"",""America/Panama"",""Panama""
ACV,""Арката"",""Arcata"",""40.8665166:-124.0828396"",""America/Los_Angeles"",""United States""
ACX,""Ксингюи"",""Xingyi"",,,""China""
ACY,""Атлантик-Сити"",""Atlantic City"",""39.3642834:-74.4229266"",,""United States""
ACZ,""Заболь"",""Zabol"",""31.03845:61.496181"",""+0.0"",""Iran""
ADA,""Адана"",""Adana"",""37.0:35.3213333"",""Europe/Istanbul"",""Turkey""
ADC,""Андакомбе"",""Andakombe"",,,""Papua New Guinea""
ADD,""Аддис-Абеба"",""Addis Ababa"",""9.022736:38.746799"",""Africa/Addis_Ababa"",""Ethiopia""
ADE,""Аден"",""Aden"",""12.8:45.0333333"",""Asia/Aden"",""Yemen""
ADF,""Адыяман"",""Adiyaman"",""37.7641667:38.2761667"",""Europe/Istanbul"",""Turkey""
ADG,""Адриан"",""Adrian"",""41.8975471:-84.0371659"",""America/New_York"",""United States""
ADH,""Алдан"",""Aldan"",""58.6:125.41"",""Asia/Yakutsk"",""Russia""
ADI,""Арандис"",""Arandis"",""-22.46:14.98"",""Africa/Windhoek"",""Namibia""
ADK,""Адак"",""Adak Island"",""51.7615874:-176.6217472"",""America/Adak"",""United States""
ADL,""Аделаида"",""Adelaide"",""-34.9286212:138.5999594"",""Australia/Adelaide"",""Australia""
ADN,""Андес"",""Andes"",""5.65:-75.9"",""America/Bogota"",""Colombia""
ADO,""Андамука"",""Andamooka"",""-30.4498651:137.1635473"",""Australia/Adelaide"",""Australia""
ADQ,""Кадьяк"",""Kodiak"",""57.79:-152.4072222"",""America/Chicago"",""United States""
ADR,""Эндрюс"",""Andrews"",""33.451278:-79.5608971"",""America/Chicago"",""United States""
ADT,""Ада"",""Ada"",""34.774531:-96.6783449"",""America/North_Dakota/New_Salem"",""United States""
ADU,""Ардабил"",""Ardabil"",""38.33:48.42"",""Asia/Tehran"",""Iran""
ADV,""Эндовер"",""Andover"",""51.2093176:-1.4783522"",""Europe/London"",""United Kingdom""
ADW,""Камп Спрингс"",""Camp Springs"",,""America/New_York"",""United States""
ADX,""Сент-Эндрюс"",""St Andrews"",""56.3389114:-2.7989253"",""Europe/London"",""United Kingdom""
ADY,""Олдэйс"",""Alldays"",""-22.68:29.06"",""Africa/Johannesburg"",""South Africa""
ADZ,""Сан Андрес Айленд"",""San Andres Island"",""12.58:-81.71"",""America/Bogota"",""Colombia""
AEA,""Абемама"",""Abemama Atoll"",""0.3866713:173.7783322"",""Pacific/Tarawa"",""Kiribati""
AED,""Аленива"",""Aleneva"",""58.06:-152.9097222"",""America/Anchorage"",""United States""
AEG,""Аек Годанг"",""Aek Godang"",""1.4:99.43"",""Asia/Jakarta"",""Indonesia""
AEH,""Абечер"",""Abecher"",""13.85:20.84"",""Africa/Ndjamena"",""Chad""
AEI,""Альхесирас"",""Algeciras"",""36.1297803:-5.4476981"",""+0.0"",""Spain""
AEK,""Асеки"",""Aseki"",""-7.35:146.18"",""Pacific/Port_Moresby"",""Papua New Guinea""
AEL,""Альберт-Ли"",""Albert Lea"",""43.6485683:-93.3624319"",""America/Menominee"",""United States""
AEO,""Аюн-эль-Атрус"",""Aioun El Atrouss"",""16.661011:-9.617236"",""Africa/Nouakchott"",""Mauritania""
AER,""Сочи (Адлер)"",""Sochi (Adler)"",""43.448:39.914"",""Europe/Moscow"",""Russia""
AES,""Аалесунд"",""Aalesund"",""62.56:6.11"",""Europe/Oslo"",""Norway""
